Timestamp,Message
2024-06-17 19:04:31.537,"A:3.10,3.41,9.34;G:0.23,-0.23,0.05"
2024-06-17 19:04:31.763,"A:3.14,3.37,9.30;G:0.03,-0.22,0.05"
2024-06-17 19:04:31.766,"A:3.14,3.30,9.30;G:0.23,0.49,0.05"
2024-06-17 19:04:31.914,"A:3.10,3.33,9.38;G:0.00,0.01,0.05"
2024-06-17 19:04:32.062,"A:3.10,3.33,9.38;G:0.01,0.01,0.05"
2024-06-17 19:04:32.214,"A:3.18,3.33,9.34;G:-0.44,-0.47,0.05"
2024-06-17 19:04:32.287,"A:3.14,3.33,9.34;G:0.01,0.25,0.05"
2024-06-17 19:04:32.438,"A:3.06,3.37,9.30;G:0.23,-0.23,0.05"
2024-06-17 19:04:32.588,"A:3.06,3.37,9.30;G:0.01,0.00,0.05"
2024-06-17 19:04:32.737,"A:3.06,3.37,9.34;G:0.01,0.01,0.05"
2024-06-17 19:04:32.812,"A:3.10,3.41,9.26;G:0.23,0.49,0.05"
2024-06-17 19:04:32.963,"A:3.14,3.30,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:33.113,"A:3.10,3.41,9.34;G:-0.22,0.01,0.05"
2024-06-17 19:04:33.188,"A:3.14,3.33,9.34;G:-0.21,-0.23,0.05"
2024-06-17 19:04:33.338,"A:3.14,3.37,9.26;G:0.23,-0.23,0.05"
2024-06-17 19:04:33.487,"A:3.14,3.37,9.26;G:0.01,0.01,0.04"
2024-06-17 19:04:33.640,"A:3.14,3.33,9.30;G:0.24,0.26,0.04"
2024-06-17 19:04:33.714,"A:3.14,3.41,9.26;G:-0.21,0.25,0.04"
2024-06-17 19:04:33.862,"A:3.14,3.37,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:34.014,"A:3.14,3.37,9.30;G:-0.22,0.01,0.05"
2024-06-17 19:04:34.163,"A:3.14,3.37,9.26;G:-0.21,-0.24,0.05"
2024-06-17 19:04:34.237,"A:3.10,3.33,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:34.389,"A:3.06,3.37,9.34;G:0.01,-0.24,0.05"
2024-06-17 19:04:34.538,"A:3.10,3.41,9.34;G:0.23,0.00,0.05"
2024-06-17 19:04:34.613,"A:3.10,3.37,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:34.764,"A:3.14,3.45,9.30;G:0.23,0.50,0.05"
2024-06-17 19:04:34.913,"A:3.14,3.45,9.30;G:0.01,-0.23,0.04"
2024-06-17 19:04:35.063,"A:3.14,3.41,9.34;G:0.01,0.26,0.04"
2024-06-17 19:04:35.138,"A:3.14,3.37,9.30;G:-0.45,-0.24,0.05"
2024-06-17 19:04:35.288,"A:3.10,3.41,9.30;G:0.01,0.00,0.05"
2024-06-17 19:04:35.437,"A:3.06,3.41,9.30;G:0.23,-0.24,0.05"
2024-06-17 19:04:35.513,"A:3.10,3.41,9.34;G:0.00,0.01,0.04"
2024-06-17 19:04:35.663,"A:3.10,3.37,9.34;G:-0.03,-0.25,0.05"
2024-06-17 19:04:35.813,"A:3.10,3.37,9.34;G:0.23,0.53,0.05"
2024-06-17 19:04:36.038,"A:3.10,3.37,9.34;G:0.01,0.01,0.05"
2024-06-17 19:04:36.039,"A:3.14,3.41,9.30;G:0.00,0.01,0.05"
2024-06-17 19:04:36.188,"A:3.14,3.37,9.38;G:-0.23,-0.24,0.05"
2024-06-17 19:04:36.339,"A:3.14,3.37,9.38;G:0.00,0.25,0.05"
2024-06-17 19:04:36.488,"A:3.10,3.37,9.34;G:-0.22,-0.24,0.05"
2024-06-17 19:04:36.562,"A:3.14,3.37,9.34;G:0.24,-0.24,0.05"
2024-06-17 19:04:36.713,"A:3.10,3.37,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:36.862,"A:3.14,3.37,9.26;G:0.23,0.50,0.05"
2024-06-17 19:04:36.937,"A:3.10,3.37,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:37.088,"A:3.14,3.37,9.34;G:0.01,0.01,0.05"
2024-06-17 19:04:37.314,"A:3.14,3.37,9.34;G:-0.21,0.01,0.04"
2024-06-17 19:04:37.388,"A:3.14,3.41,9.30;G:-0.21,-0.24,0.04"
2024-06-17 19:04:37.462,"A:3.18,3.37,9.30;G:0.01,0.01,0.04"
2024-06-17 19:04:37.613,"A:3.06,3.37,9.30;G:0.24,0.24,0.05"
2024-06-17 19:04:37.765,"A:3.10,3.41,9.34;G:0.01,-0.24,0.05"
2024-06-17 19:04:37.839,"A:3.14,3.37,9.30;G:0.23,0.51,0.05"
2024-06-17 19:04:37.987,"A:3.14,3.37,9.34;G:0.00,-0.24,0.05"
2024-06-17 19:04:38.137,"A:3.14,3.37,9.34;G:-0.23,0.01,0.05"
2024-06-17 19:04:38.287,"A:3.10,3.41,9.30;G:0.01,0.26,0.04"
2024-06-17 19:04:38.363,"A:3.14,3.33,9.30;G:-0.22,-0.24,0.07"
2024-06-17 19:04:39.037,"T:24.93,24.79"
2024-06-17 19:04:39.187,"A:3.10,3.37,9.30;G:0.01,0.01,0.06"
2024-06-17 19:04:39.262,"A:3.14,3.33,9.38;G:0.24,-0.24,0.05"
2024-06-17 19:04:39.412,"A:3.14,3.33,9.30;G:0.01,0.01,0.05"
2024-06-17 19:04:39.563,"A:3.14,3.33,9.30;G:0.24,0.25,0.05"
2024-06-17 19:04:39.713,"A:3.14,3.41,9.30;G:0.01,0.26,0.05"
2024-06-17 19:04:39.863,"A:3.10,3.37,9.22;G:0.01,0.01,0.05"
2024-06-17 19:04:39.937,"A:3.06,3.41,9.26;G:-0.22,0.01,0.05"
2024-06-17 19:04:40.087,"A:3.06,3.41,9.26;G:-0.22,-0.25,0.05"
